Note_Type,left_fist_dist,left_fist_angle,right_fist_dist,right_fist_angle,left_arm_angle,right_arm_angle,nose_position,nose_above_shoulder
WEAVE_L,0.25148571068546405,319.2539935069077,0.4412497050560022,139.62202373920738,3.8639397888416345,24.511853894769718,-0.045040965323408955,1
JAB_L,0.25148571068546405,319.2539935069077,0.4412497050560022,139.62202373920738,3.8639397888416345,24.511853894769718,-0.045040965323408955,1
STRAIGHT_R,0.25148571068546405,319.2539935069077,0.4412497050560022,139.62202373920738,3.8639397888416345,24.511853894769718,-0.045040965323408955,1
GUARD,0.27024631827398415,320.25653007593434,0.439150576759113,139.15386076643114,2.6908832526604733,24.334201451673135,-0.04813963982863091,1
WEAVE_R,0.2532291725168876,324.66355948538904,0.4177242001993137,137.25248803118998,0.23447716958858064,18.25730155840978,-0.04980418089510863,1
JAB_L,0.37280065955694436,313.80291502189016,0.5684310043950662,96.93371397629566,8.372250626745972,174.30820126481748,-0.07983553273336308,1
STRAIGHT_R,0.2690511720441369,354.8722060939747,0.21089509566495232,137.4480602446361,6.579053195638393,10.247295632518062,-0.07452982617585993,1
GUARD,0.2903091071754588,335.7173259814676,0.39774559794526076,145.73365159594715,3.3918233492861654,3.3822804895430387,-0.21101701858215202,1
WEAVE_L,0.456664054306216,305.61161160902304,0.6792937672257519,92.31368999296426,6.473445631428062,174.1180021188864,-0.0020290312642797896,1
JAB_L,0.2677282302886133,22.783876041885307,0.28810966343221167,213.65170176979836,5.754273266205747,23.221230835573646,-0.07888490686845254,1
STRAIGHT_R,0.32434533609422805,295.0916525591208,0.45574899578102673,146.2909604001191,7.975584866990327,19.605176911983868,0.13843385496702543,1
GUARD,0.30441035899513724,303.07725898551877,0.6522281229801372,111.9557778196249,4.416465594695372,82.5789919618195,0.09229143059106794,1
WEAVE_R,0.6091691991613873,73.66563384924721,0.23687287330176526,208.2414637542572,124.7547988782077,35.38597969242615,-0.06929279043922407,1
JAB_L,0.3004388484937924,311.9068907496732,0.48031100602212823,122.20713201061284,3.967527371519428,75.33826637529594,-0.07927741745989161,1
STRAIGHT_R,0.34358033078884664,325.244604530926,0.4323558691478223,129.39209803392134,3.5007007285677525,5.475997691259573,-0.1382980857644581,1
GUARD,0.28699533655080095,321.5349468960315,0.35129277022355127,134.285858611458,7.388663655274921,10.57492528189096,-0.043087133595104965,1
WEAVE_L,0.3489015289186731,359.763294043137,0.2223143495000968,121.98768021084354,17.680131438341352,33.63275693303079,0.006117390723235682,1
JAB_L,0.23729455077399314,353.5678999232403,0.3574834006469927,130.92972945294895,0.9746554839425706,18.21485517303208,-0.1148181738894751,1
STRAIGHT_R,0.2440686288851116,322.54769952739315,0.5251994316260933,128.4024012320915,0.8045281849755815,21.10196076197919,-0.023958077911552966,1
GUARD,0.28448928818721403,301.13264788476295,0.48166178744700344,125.97049894583878,3.6130655502114863,36.54088850314949,0.14929400247706137,1
WEAVE_R,0.2723083975476156,325.84379696342944,0.8472674959729075,101.43634194442777,8.424969406714524,179.44871021331085,0.04042138856632732,1
JAB_L,0.1990890384589006,38.430849169636616,0.3584318137553833,129.37260676457294,2.904962540910248,19.351742424774056,-0.0703170598892757,1
STRAIGHT_R,0.32374570401998765,332.2874026212536,0.49331524421309164,124.59032152238001,2.7823586495382697,10.24719119235533,-0.20207981433678887,1
GUARD,0.3155681822976404,327.90053855271674,0.38894795770750223,139.55643995334762,6.745146459660416,6.900721680224826,-0.10551946214127193,1
WEAVE_L,0.2737746207303393,19.22293820834753,0.32315599430148556,108.30396636880548,18.2597100776068,22.646213205095787,0.01692320453183432,1
JAB_L,0.26271931770373463,319.4543580766533,0.5856612012144808,114.58886095665372,0.5724206680543491,174.59155396700666,-0.07846441694709483,1
STRAIGHT_R,0.28017510777380233,298.58870357507016,0.5810974919074747,119.85386901500829,8.17939695943525,67.90203937656092,0.1542956300996169,1
GUARD,0.2576575867446355,319.27720130396557,0.4231431197791456,139.4237349115299,1.4121838833300002,16.638446454625655,0.07197314914697472,1
WEAVE_R,0.5713062454601829,80.4588260104712,0.24418113203569877,226.3210088754089,104.42869193255703,27.00729840851188,-0.00894938064202923,1
